Title,Author,Nationality,Sex,Job,Publisher,Original_year_published,Genre,Sub_genre,Language,Number_pages,Date_started,Date_finished,Days,Pages_per_day
Summer Meditations,"Havel, Vaclav",,,,Vintage Books,1991,Non-fiction,Politics,English,149,10/22/2016,10/25/2016,3,49.7
Mythology : timeless tales of gods and heroes,"Hamilton, Edith",,,,Grand Central,1942,Non-fiction,History,English,495,12/7/2016,12/23/2016,16,30.9
The Personal MBA,"Kaufman, Josh",,,,Portfolio,2010,Non-fiction,Self_help,English,446,2/10/2017,2/19/2017,9,49.6
The Butcher Boy,"McCabe, Patrick",,,,Pan Macmillan,1992,Fiction,Crime,English,224,9/2/2015,9/3/2015,1,224.0
Appointment in Samarra,"O'Hara, John",,,,Vintage,1934,Fiction,Drama,English,251,7/13/2018,7/26/2018,13,19.3
The catcher in the rye,"Salinger, J. D. (Jerome David)",,,,Penguin,1951,Fiction,Drama,English,192,5/28/2016,6/1/2016,4,48.0
Le quatrieme mur,"Chalandon, Sorj",,,,,2013,Fiction,History,French,329,5/22/2016,5/24/2016,2,164.5
Sapiens,"Harari, Yuval Noah",,,,Vintage Books,2011,Non-fiction,Science,English,498,7/27/2018,8/10/2018,14,35.6
Post Office,"Bukowski, Charles",,,,Virgin,1971,Fiction,Drama,English,160,9/30/2016,10/1/2016,1,160.0
One Good Turn,"Rybczynski, Witold",,,,Simon & Schuster,2000,Non-fiction,History,English,176,9/15/2016,9/19/2016,4,44.0
The Amazing Adventures of Kavalier & Clay,"Chabon, Michael",,,,Fourth Estate,2000,Fiction,Adventure,English,639,11/9/2016,11/21/2016,12,53.3
Purity,"Franzen, Jonathan",,,,,2015,Fiction,Drama,English,563,4/5/2017,4/21/2017,16,35.2
The Sellout,"Beatty, Paul",,,,Oneworld Publications,2015,Fiction,Comedy,English,304,4/23/2017,4/27/2017,4,76.0
The Cunning Man,"Davies, Robertson",,,,"Penguin Books, Limited",1994,Fiction,Drama,English,480,12/20/2015,1/8/2016,19,25.3
The Man in the High Castle,"Dick, Philip K.",,,,"Penguin Books, Limited",1962,Fiction,History,English,256,11/22/2016,11/26/2016,4,64.0
A farewell to arms,"Hemingway, Ernest",,,,Macmillan Collector's Library,1929,Fiction,History,English,999,5/5/2017,5/14/2017,9,111.0
Dracula,"Stoker, Bram",,,,HarperPress,1897,Fiction,Horror,English,496,8/5/2017,8/15/2017,10,49.6
Sprint,"Knapp, Jake",,,,Editions Eyrolles,2016,Non-fiction,Business _economics,French,302,3/20/2018,3/24/2018,4,75.5
Dr Jekyll and Mr Hyde,"Stevenson, Robert Louis",,,,Penguin Classics,1886,Fiction,Horror,English,110,11/26/2018,11/30/2018,4,27.5
Hooked,"Eyal, Nir",,,,Portfolio Penguin,2013,Non-fiction,Business _economics,English,256,12/15/2018,12/19/2018,4,64.0
Watership Down,"Adams, Richard",,,,,1972,Fiction,Adventure,English,506,12/2/2018,12/12/2018,10,50.6
Heart of Europe,"Wilson, Peter H.",,,,Harvard University Press,2016,Non-fiction,History,English,941,1/2/2017,2/1/2017,30,31.4
The Tin Drum,"Grass, Gunter",,,,Houghton Mifflin Harcourt,1959,Fiction,Drama,English,582,7/16/2016,7/27/2016,11,52.9
Empire of Things,"Trentmann, Frank",,,,Allen Lane,2015,Non-fiction,History,English,862,3/16/2016,4/24/2016,39,22.1
Paradise Now,"Jennings, Chris",,,,Random House,2016,Non-fiction,Politics,English,488,3/2/2016,3/16/2016,14,34.9
The Philosophy Book,Various,,,,Dorling Kindersley Limited,2010,Non-fiction,Philosophy,English,352,6/13/2017,7/2/2017,19,18.5
Other minds,"Godfrey-Smith, Peter",,,,,2016,Non-fiction,Philosophy,English,255,11/1/2018,11/7/2018,6,42.5
The Handmaid's Tale,"Atwood, Margaret",,,,Vintage,1985,Fiction,Dystopia,English,324,2/13/2019,2/20/2019,7,46.3
Walden,"Thoreau, Henry David",,,,Macmillan Collector's Library,1854,Non-fiction,Politics,English,360,9/26/2018,10/8/2018,12,30.0
The spy who came in from the cold,"Carré, John Le",,,,Penguin Classics,1963,Fiction,Spy,English,257,11/23/2018,11/25/2018,2,128.5
Hitchhiker's Guide to the Galaxy,"Adams, Douglas",,,,Pan Macmillan,1979,Fiction,Sci_fi,English,592,3/19/2019,4/21/2019,33,17.9
